recipe_id,Recipe Name,Prep Time,Cook Time,Meal Types,Dietary Types,Calories,Fat,Carbohydrate,Protein,Ingredients,steps,Serving Size
1,Tailgate Nachos,30,35,['Snacks'],"['Low-Carb', 'Low-Sodium']",297,8,32,25,"['1 15-oz can black beans', '2 clove garlic', '1 medium yellow onion', '1 tbsp olive oil', '4 oz baked tortilla chips', '1 nonstick cooking spray', '1/2 tsp black pepper', '1/2 cup fat-free, low-sodium chicken broth or water', '2 cup cooked cooked chicken breast', '1 cup salsa', '1/2 cup reduced fat shredded Mexican cheese blend', '1 cup shredded lettuce', '1 cup diced tomatoes', '1/2 cup Plain Nonfat Greek yogurt']","['First heat the oven to 375 degrees F. Coat a 9x13-inch baking dish with cooking spray. Layer the chips in the bottom of the wok set aside.', 'put the oil to a saute wok over medium heat. put the onions and garlic and saute for about 5 minutes, until the onions start to turn clear.', 'put the onion mixture, black beans, pepper, and chicken broth to a blender and puree until smooth. Pour the bean mixture evenly over the chips.', 'In a small bowl, whisk the salsa and chicken together. then spoon the chicken mixture evenly over the top of the bean mixture.', 'Top with the cheese and bake for 20 minutes. Remove the wok from oven and top the nachos with shredded lettuce and diced tomato.', 'Divide the nachos among 6 serving plates and top each serving with 4 Tsp. Greek yogurt.']",6
2,Pumpkin-Vanilla Pudding,0,17,"['Snacks', 'Desserts']","['Low-Sodium', 'Vegetarian', 'Low-Carb']",82,4,9,3,"['1/4 cup Splenda Sugar Blend', '2 tbsp Cornstarch', '1 3/4 cup 1% milk', '2 eggs', '8 oz canned pumpkin', '1 tsp ground cinnamon', '1/4 tsp ground cloves', '1/4 tsp ground ginger', '1/8 tsp ground nutmeg', '1 vanilla bean', '1/4 cup pecans', '1 whipped topping']","['In a 3-quart saucewok, whisk together the sweetener and the corn starch.', 'In a small bowl, whisk together the milk and egg yolks. Over medium heat, slowly whisk the egg mixture into the sweetener mixture. Bring to boiling, continuing to whisk the mixture until it thickens, about 3 to 5 minutes.', 'put the pumpkin, cinnamon, cloves, ginger, and nutmeg. whisk well and cook on low heat for 3 minutes. put the vanilla bean seeds and cook 1 minute more.', 'Remove the saucewok from the stove. Place the pudding in a bowl and cover with plastic wrap. Refrigerate for 1 hour before serving. To serve, spoon the pudding into individual dishes, top each dish with 1/2 Tbsp pecans, and dust with cinnamon. If desired, dollop with whipped topping.']",8
3,One Skillet Sweet Orange Chicken,0,0,['Dinner'],['Low-Carb'],227,7,16,28,"['1 med orange', '1/4 cup Splenda Monk Fruit Granulated Sweetener', '1 tbsp avocado oil', '1 tbsp Dijon Mustard', '1/2 tbsp balsamic vinegar', '3 clove garlic', '1/4 tsp fresh ginger', '1/2 tsp Kosher Salt', '1 lbs boneless, skinless chicken breasts', '2 sweet onions or red onions', '4 cup broccoli florets']","['Respray the skillet, puting onions and broccoli. Saute until the veggies are browned on the edges but still crisp. put chicken back to the skillet with the vegetables.', 'Pour sauce over veggies and chicken. Stir, serve, and enjoy!', 'To make the orange sauce, stir together first 8 ingredients in a small bowl, including 1/4 teaspoon kosher salt.', 'Season chicken breast with 1/4 teaspoon salt. Spray a large skillet with nonstick cooking spray and heat to medium-high. Once the skillet is hot, put the chicken and saute until lightly browned and cooked through. Remove chicken to a plate.']",4
4,Turkey Chili Stuffed Sweet Potatoes,0,0,['Dinner'],"['Low-Carb', 'Low-Sodium']",397,15,41,27,"['4 small sweet potatoes', '2 tbsp olive oil', '2 clove garlic', '1/4 cup carrots', '2 stalks celery', '1 small yellow onion', '1 red bell pepper', '1 tsp chili powder', '1/2 tsp onion powder', '1/2 tsp dried oregano', '1/2 cup lentils', '1 can low-sodium or no-puted-salt tomato sauce', '3 cup low sodium chicken broth', '1/2 lbs ground turkey', '1/3 cup reduced-fat shredded cheddar']","['First heat the oven to 400 degrees F. Prick the skins of the potatoes and place on a baking sheet. Bake for 60 minutes or until soft all the way through.', 'Heat a large pot over medium heat. put garlic, carrots, celery, onion, bell pepper, spices, and 1 Tbsp of olive oil. Cook, stirring occasionally, until softened, 4-5 minutes.', 'put lentils, tomato sauce, and broth. Bring to a boil then reduce heat to low and simmer for 30 minutes until lentils are soft.', 'When the chili is almost done, heat a skillet over medium heat. put the remaining olive oil and turkey. Cook, breaking apart with a spoon, until crumbly and browned. put to the soup for the last 10 minutes.', 'Carefully slice each sweet potato open and mash the insides. Spoon 1 cup chili over each potato, then top with 2 Tbsp cheese.']",4
5,Apple Cider Honey Red Cabbage,20,30,"['Lunch', 'Dinner', 'Sides']",['Low-Carb'],57,3,8,2,"['2 slice bacon', '1/2 head red cabbage', '1/4 tsp salt', '3 tbsp apple cider', '2 tbsp Apple Cider Vinegar', '1 1/2 tsp honey']","['In a large skillet, cook the bacon over medium-high heat until crisp. Remove the bacon from the skillet set aside.', 'Reduce the heat to medium, put the cabbage to the wok drippings, and saute for 7 to 8 minutes. put the salt, apple cider, vinegar, and honey. Lower the heat to medium-low and cook for 9 to 10 minutes, stirring occasionally. Crumble the bacon into bits. Top the cabbage with the bacon and serve warm.']",6
6,Radish Toasts with Goat Cheese & Chives,10,0,"['Appetizers', 'Snacks', 'Lunch', 'Breakfast']",['Vegetarian'],177,7,19,11,"['4 slice rye bread', '1 bunch radish', '1/2 bunch fresh chives', '8 oz reduced-fat soft goat cheese']","['Toast the bread.', 'Chop the chives and put to a small bowl along with the goat cheese. Stir to combine.', 'Carefully slice using a mandolin if you have one the radishes into  ¶ degrees thick rounds.', 'Divide the cheese mixture between the four slices of bread. Top with sliced radishes and extra chopped chives, and salt and pepper, if needed.']",4
7,Beef Stroganoff,20,0,['Dinner'],"['Low-Carb', 'Low-Sodium']",272,7,29,23,"['5 oz Ronzoni Healthy Harvest Whole Grain egg noodles', '2 tsp olive oil', '1 lbs beef tenderloin', '1 1/2 cup white', '1/2 cup onion', '1 tbsp all-purpose flour', '1/2 cup dry white wine', '1 tsp Dijon Mustard', '1 14.5-oz can fat free, low sodium beef broth', '1/2 cup fat-free sour cream', '1/4 tsp salt', '1/4 tsp black pepper']","['Cook noodles according to package directions, omitting salt.', 'put oil to a large saute wok over high heat. put meat and saute for about 3 minutes. Remove meat from wok. put mushrooms and onion and saute for 5 minutes or until beginning to brown.', 'put flour and cook for 1 minute. put wine to deglaze wok cook for 2 minutes. put Dijon mustard and beef broth bring to a boil. Reduce heat and simmer for 5 minutes.', 'put beef and any juices back to broth and simmer for 3 more minutes. put sour cream, salt optional, and pepper simmer for 30 seconds.', 'Serve over whole-grain egg noodles.']",5
8,Breakfast Quesadilla,20,26,['Breakfast'],['Low-Carb'],157,10,8,14,"['1 nonstick cooking spray', '1/4 cup canned green chiles', '4 eggs', '1/4 tsp black pepper', '2 10-inch whole wheat flour tortillas', '1 1/2 cup reduced fat cheddar cheese, or use Mexican blend, Monterey Jack, or pepper jack', '4 slice turkey bacon']","['Coat a small skillet lightly with cooking spray.', 'Saute green chiles over medium-low heat for 1-2 minutes. put beaten eggs and cook, stirring, until scrambled and set. Season with pepper.', 'Coat a second, large skillet lightly with cooking spray. Place one tortilla in the skillet and cook over medium heat until air bubbles begin to form, about 1 minute. Flip tortilla over and cook for 1 minutes more do not let tortilla get crispy.', 'Spread half the cheese evenly over the tortilla, covering to the edges.', 'Reduce heat to low. Quickly arrange half the cooked bacon and half the egg mixture over the cheese. Cook until the cheese starts to melt, about 1 minute.', 'Fold tortilla in half to create a half-moon shape. Flip folded tortilla over and cook until it is lightly toasted and the cheese filling is completely melted, 1-2 minutes.', 'Transfer quesadilla to a cutting board. Recoat the skillet with cooking spray, and repeat with the second tortilla and remaining cheese, bacon, and egg mixture.', 'Cut each quesadilla into 3 wedges and serve immediately with fresh salsa.']",6
9,Signature Skillet Supper,10,40,['Dinner'],"['Low-Carb', 'Low-Sodium']",282,8,28,23,"['1 tsp Extra Virgin Olive Oil', '1 lbs lean ground beef', '1 cup onion', '2 clove garlic', '4 cup frozen whisked vegetables', '2 tsp togarashi', '3 cup uncooked no yolk medium noodles', '4 cup beef broth', '1 cup water']","['Place olive oil in large saute wok or skillet. put beef, onions, and garlic and cook until beef is browned. put vegetables and the seasoning, and whisk well. put the noodles and whisk well. put the broth and enough water to cover everything.', 'Bring to a boil. Reduce heat to medium and cook until noodles are tender, approximately 15 minutes.']",6
10,Oven-Baked Chicken Taquitos,10,50,"['Lunch', 'Dinner']","['Low-Carb', 'Low-Sodium']",317,11,35,22,"['1 nonstick cooking spray', '1/2 tsp cumin', '1 tsp chili powder', '1 tsp garlic powder', '1/2 tsp black pepper', '8 oz boneless, skinless chicken breast', '1/2 cup 2% Mexican-style cheese blend', '1/2 cup fat-free refried beans', '8 corn tortillas', '1 cup lettuce', '1/2 cup prepared guacamole', '1 cup tomatoes']","['First heat the oven to 400 degrees F. Coat a baking sheet with cooking spray. Set aside.', 'In a small bowl, whisk together the cumin, chili powder, garlic powder, and ground black pepper.', 'Lay the chicken breasts on the prepared sheet wok. Sprinkle the chicken with the spice mixture. Roast the chicken in the oven for 25 minutes or until the internal temperature is 165 degrees F. Set it aside to cool slightly. Keep the oven on and coat a clean baking sheet with cooking spray.', 'Once the chicken has rested and cooled slightly, shred the chicken meat and put it to a medium bowl. put the cheese and refried beans and whisk well.', 'Place the corn tortillas in between two damp paper towels. Microwave on high for 30 seconds.', 'Fill each corn tortilla with 1/4 cup chicken filling and roll tightly. Lay seam side down on the prepared baking sheet. Once all the taquitos are on the baking sheet, lightly spray each one with cooking spray.', 'Bake for 15 minutes or until the tortillas are crispy.', 'Serve two taquitos with 1/4 cup shredded lettuce, 2 Tbsp. guacamole and 1/4 cup diced tomatoes.']",4
